판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,판결요지,선고,판례상세링크
71222,이혼·재산분할등,98드96753,2000.07.06,서울가정법원,가사,400103,판결：항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=71222&type=HTML&mobileYn=
71221,이혼·재산분할등,98드84446,2000.06.28,서울가정법원,가사,400103,판결：확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=71221&type=HTML&mobileYn=
71223,이혼·재산분할등,98드62958,2000.04.19,서울가정법원,가사,400103,판결：항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=71223&type=HTML&mobileYn=
79068,이혼및위자료,99므180,1999.11.26,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=79068&type=HTML&mobileYn=
79069,이혼및위자료등,99므1596,1999.11.26,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=79069&type=HTML&mobileYn=
121010,이혼등,99드합2775,1999.11.11,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=121010&type=HTML&mobileYn=
118136,이혼및재산분할,99므1213,1999.10.08,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=118136&type=HTML&mobileYn=
121011,이혼,98드87322,1999.07.01,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=121011&type=HTML&mobileYn=
117774,이혼등,96므1397,1999.06.11,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=117774&type=HTML&mobileYn=
211103,이혼및위자료,97므612,1999.02.12,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=211103&type=HTML&mobileYn=
117185,이혼등,98므1193,1998.11.13,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=117185&type=HTML&mobileYn=
222103,이혼및위자료등,97드2994,1998.11.05,제주지방법원,가사,400103,판결：항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=222103&type=HTML&mobileYn=
116830,이혼·이혼및위자료,98므15,1998.06.23,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=116830&type=HTML&mobileYn=
192040,이혼및위자료등,96므1434,1998.04.10,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=192040&type=HTML&mobileYn=
146713,이혼및위자료등·이혼등,97므1486,1998.02.13,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=146713&type=HTML&mobileYn=
116236,이혼등·이혼및위자료등,96므1076,1997.12.26,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=116236&type=HTML&mobileYn=
120536,이혼 및 위자료,96드73619,1997.10.24,서울가정법원,가사,400103,판결：확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=120536&type=HTML&mobileYn=
219663,이혼등,97므933,1997.09.26,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=219663&type=HTML&mobileYn=
120534,이혼 및 위자료,96드96056,1997.09.11,서울가정법원,가사,400103,판결：항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=120534&type=HTML&mobileYn=
